name,lo,la,mag
201510111332,152.4956,46.7488,5.0
201510110058,-135.708,-54.4856,6.1
201510090233,-24.7532,-57.4121,5.0
201510062127,29.8952,36.1682,5.2
201510060921,-88.9955,12.1177,5.1
201510050109,179.9587,-35.119,5.0
201510041450,-72.1052,-16.2684,5.3
201510041011,-71.627,-30.656,5.0
201510040349,-72.1018,-30.3105,5.5
201510021551,125.0141,1.3146,5.2
201510012249,-173.8606,-16.2664,5.4
201509290846,143.6835,40.3094,5.2
201509281528,-66.6126,-23.8028,5.9
201509270256,129.6047,-7.1772,5.5
201509262140,-142.4382,-57.0947,5.9
201509252258,145.896,16.9923,5.2
201509250847,122.6907,1.2844,5.0
201509231132,-71.9505,-31.6191,5.0
201509220403,51.123,13.0875,5.2
201509211136,147.7187,-57.3074,5.0
201509210539,-71.7431,-31.5757,6.1
201509201718,-71.6818,-30.6249,5.0
201509200302,-71.4623,-30.8468,5.0
201509180424,-72.0302,-31.3611,5.0
201509161921,151.4996,-6.0709,5.1
201509160740,126.4288,1.8841,6.3
201509121642,-177.0249,-25.018,5.2
201509121338,142.6522,41.8968,5.4
201509110847,-178.3771,-33.1006,5.0
201509101026,-169.5349,52.0985,6.0
201509092103,70.4897,36.0086,5.4
201509090235,-26.1635,-59.5965,5.2
201509081137,-178.3664,-32.7007,5.0
201509080250,-178.4685,-32.7244,5.0
201509072024,-178.4296,-32.7721,5.2
201509071406,-178.198,-32.8265,5.9
201509070423,160.348,-9.7758,5.1
201509052213,-64.6856,-25.7802,5.2
201509042008,107.2248,-8.043,5.4
201509041242,-174.9162,51.5022,5.0
201509031651,143.4691,37.1958,5.4
201509030732,-174.7047,-15.4727,5.2
201509020720,53.7851,14.1344,5.0
201509010857,167.834,-19.1578,5.1
201508300530,130.3794,29.6583,5.1
201508292002,116.3414,-10.8411,5.1
201508290353,145.6204,19.1695,5.2
201508271910,147.157,45.2784,5.2
201508271506,-176.4379,-19.698,5.4
201508271050,-44.2516,26.9226,5.1
201508262156,-44.4539,27.0723,5.2
201508261351,-25.8754,-57.4999,5.8
201508252251,131.733,32.0765,5.2
201508250329,93.3168,5.017,5.1
201508232310,-71.2958,-29.7191,5.7
201508230902,86.0795,27.8355,5.0
201508230448,-90.2094,13.1055,5.3
201508211845,-178.2033,-22.4517,5.2
201508192215,28.6437,-9.6935,5.1
201508181153,-26.4808,-56.1134,5.1
201508172339,123.04,-8.1634,5.0
201508171140,131.0266,30.8186,5.1
201508170045,143.6957,27.1054,5.3
201508162105,154.0431,-5.6835,5.2
201508160849,-159.5136,-62.3587,5.0
201508141803,-45.8517,21.1039,5.5
201508140443,143.1818,42.6447,5.2
201508121250,-177.2523,-16.5413,5.2
201508120014,-71.6227,-31.6968,5.5
201508102353,151.8217,-5.5195,5.4
201508101919,-176.2405,-27.0812,5.5
201508090836,-82.6431,5.18,5.4
201508080413,152.0799,-6.6793,5.2
201508061310,23.7482,-53.43,5.1
201508060505,115.9399,-9.7758,5.3
201508042321,-175.7887,-27.2584,5.3
201508041638,166.9444,-11.1729,5.2
201508031955,95.1216,4.6798,5.0
201508030941,161.8994,-10.7474,5.4
201508030530,141.5287,37.7836,5.0
201508022004,146.6099,18.394,5.3
201508021308,123.8546,8.1761,5.2
201508020529,-9.8649,-48.2073,5.3
201508011130,-68.282,-30.0726,5.2
201507311917,-169.75,52.669,5.1
201507311006,57.5809,30.0391,5.2
201507310512,-169.4744,51.9139,5.0
201507302231,-174.3087,-22.5453,5.0
201507300742,-176.0466,-27.0321,5.6
201507281034,-104.3907,7.1396,5.0
201507280238,122.3543,-2.7681,5.1
201507261522,126.0604,2.4605,5.0
201507260705,112.6695,-9.2585,5.9
201507250734,-75.71,-8.37,5.2
201507232254,164.9048,-10.273,5.3
201507230356,-21.1776,-0.6942,5.5
201507220535,94.7158,5.0563,5.2
201507211558,-175.0273,-20.6647,5.2
201507210714,54.6102,-34.6166,5.4
201507210127,96.2302,19.0777,5.0
201507201108,-105.0838,-35.5251,5.7
201507200528,54.5832,-34.8374,5.4
201507190734,165.3917,-10.4231,5.0
201507180922,164.7763,-10.6517,5.1
201507170622,-177.7736,-32.3201,5.2
201507160158,-176.2207,-26.7699,5.2
201507152216,145.1523,18.8249,5.0
201507141234,154.7473,-7.3883,5.1
201507132321,142.0087,30.8901,5.1
201507132016,-28.2656,-55.9972,5.3
201507131114,46.3703,11.9371,5.0
201507121752,131.7493,33.0229,5.5
201507121035,-28.6559,-55.4146,5.0
201507120437,128.1869,2.9918,5.5
201507112248,130.7527,-6.2313,5.0
201507111839,128.3247,25.9708,5.0
201507111127,148.0107,43.8887,5.2
201507110153,153.5988,-4.9294,5.2
201507101603,-26.9221,-55.3598,5.0
