time,latitude,longitude,depth,mag,magType,nst,gap,dmin,rms,net,id,updated,place,type,horizontalError,depthError,magError,magNst,status,locationSource,magSource
2015-02-13T20:06:32.330Z,22.6374,121.427,30,6.2,mww,,14,0.367,1.09,us,usb000tp6y,2022-08-07T07:48:18.738Z,"Taiwan region",earthquake,5.4,3.1,,,reviewed,us,us
2015-02-16T23:06:28.270Z,39.8558,142.8808,23,6.7,mww,,20,1.925,0.94,us,usb000tpvj,2022-07-27T21:32:17.327Z,"83 km ENE of Miyako, Japan",earthquake,3.8,1.8,,,reviewed,us,us
2015-02-17T04:46:38.940Z,40.1095,141.8914,47,5.5,mwb,,40,1.149,0.43,us,usb000tpy8,2022-07-27T21:37:13.757Z,"51 km N of Miyako, Japan",earthquake,5.5,1.9,0.059,28,reviewed,us,us
2015-02-17T16:33:21.280Z,39.5696,143.5829,10,5.5,mww,,58,2.464,0.61,us,usb000tq2a,2022-07-27T21:39:09.061Z,"140 km E of Yamada, Japan",earthquake,6.6,1.8,,,reviewed,us,us
2015-02-20T04:25:23.380Z,39.8244,143.5871,10,6.2,mww,,16,2.212,0.75,us,usc000trsc,2022-07-27T22:17:24.536Z,"142 km E of Miyako, Japan",earthquake,5.8,1.7,,,reviewed,us,us
2015-02-21T10:13:53.290Z,39.8185,143.4861,7,6,mww,,44,2.208,0.55,us,usc000ts49,2022-07-27T22:24:45.873Z,"133 km E of Miyako, Japan",earthquake,6.7,1.7,,,reviewed,us,us
2015-02-24T02:28:54.090Z,39.6546,143.1982,20,5.8,mww,,19,2.238,0.46,us,usc000tski,2022-07-27T22:53:10.524Z,"107 km E of Miyako, Japan",earthquake,6.5,1.8,,,reviewed,us,us
2015-02-25T01:31:41.500Z,6.0816,119.8398,9,5.7,mww,,27,1.609,0.93,us,usc000tszg,2022-05-03T18:22:36.337Z,"81 km WSW of Pandan Niog, Philippines",earthquake,5.4,1.6,,,reviewed,us,us
2015-02-25T07:01:00.930Z,31.0659,141.8201,9,5.9,mww,,34,2.659,1.28,us,usc000tt0x,2022-05-03T18:22:37.510Z,"Izu Islands, Japan region",earthquake,6.9,1.7,,,reviewed,us,us
2015-03-23T10:13:50.880Z,23.7235,121.75,35,5.5,mww,,19,0.47,1.14,us,us10001ps8,2022-07-28T03:47:19.284Z,"Taiwan",earthquake,4.1,1.8,,,reviewed,us,us
2015-04-20T01:42:58.380Z,24.2026,122.3158,29,6.4,mww,,11,0.659,1.26,us,us200027ps,2022-08-07T07:57:54.402Z,"75 km WSW of Yonakuni, Japan",earthquake,6,1.7,,,reviewed,us,us
2015-04-20T11:45:13.440Z,24.0851,122.453,29,6,mww,,12,0.635,0.69,us,us200027rt,2022-07-31T00:13:52.551Z,"69 km SW of Yonakuni, Japan",earthquake,4.3,1.7,,,reviewed,us,us
2015-04-20T12:00:00.070Z,24.0471,122.4532,29,6.1,mww,,26,0.659,0.77,us,us200027ru,2022-07-31T00:14:46.952Z,"72 km SW of Yonakuni, Japan",earthquake,5.5,1.8,,,reviewed,us,us
